time,user,text,channel,real_name,id,name,title,mimetype,filetype,url_private,url_private_download,thumb_64,thumb_480,thumb_1024,image,medium,idNum
2020-04-24T16:29:21Z,U012H3KTSAF,hallo dietmar,berlin-local,Sam Auinger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oct26/grey.jpg,text,1
2020-04-24T16:32:01Z,U012H3KTSAF,schreibe eine Nachricht,sam_auinger,Sam Auinger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oct26/grey.jpg,text,2
2020-04-24T16:33:03Z,U012H3KTSAF,wasser sound,sam_auinger,Sam Auinger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oct26/grey.jpg,text,3
2020-04-24T16:42:25Z,U012H3KTSAF,test movie,sam_auinger,Sam Auinger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oct26/grey.jpg,text,4
2020-04-26T13:05:51Z,U01242KTZ2B,Greeting from sunny Berlin,berlin-local,Peter Cusack,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oct26/grey.jpg,text,5
2020-04-26T13:06:45Z,U012TPRCUQ1,"hello peter! greetings from connecticut, not sunny at the moment :slightly_smiling_face: we created a channel for you where you can record your observations",berlin-local,Dietmar Offenhuber,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oct26/grey.jpg,text,6
2020-04-26T17:30:32Z,U012TPRCUQ1,neue spuren,dietmar_offenhuber,Dietmar Offenhuber,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oct26/grey.jpg,text,7
2020-04-26T17:30:32Z,U012TPRCUQ1,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F0138PHBH4Y-b2244daa01/image_from_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",dietmar_offenhuber,Dietmar Offenhuber,F0138PHBH4Y,Image from iOS.jpg,Image from iOS,image/jpeg,jpg,https://files.slack.com/files-pri/T012DPKCBQV-F0138PHBH4Y/image_from_ios.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435,https://files.slack.com/files-pri/T012DPKCBQV-F0138PHBH4Y/download/image_from_ios.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435,https://files.slack.com/files-tmb/T012DPKCBQV-F0138PHBH4Y-b2244daa01/image_from_ios_64.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435,https://files.slack.com/files-tmb/T012DPKCBQV-F0138PHBH4Y-b2244daa01/image_from_ios_480.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435,https://files.slack.com/files-tmb/T012DPKCBQV-F0138PHBH4Y-b2244daa01/image_from_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435,oct26/thumb64/F0138PHBH4Y.jpg,image,8
2020-04-26T17:30:32Z,U012TPRCUQ1,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012K4YPRL3-0a770b98c6/image_from_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",dietmar_offenhuber,Dietmar Offenhuber,F012K4YPRL3,Image from iOS.jpg,Image from iOS,image/jpeg,jpg,https://files.slack.com/files-pri/T012DPKCBQV-F012K4YPRL3/image_from_ios.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435,https://files.slack.com/files-pri/T012DPKCBQV-F012K4YPRL3/download/image_from_ios.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435,https://files.slack.com/files-tmb/T012DPKCBQV-F012K4YPRL3-0a770b98c6/image_from_ios_64.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435,https://files.slack.com/files-tmb/T012DPKCBQV-F012K4YPRL3-0a770b98c6/image_from_ios_480.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435,https://files.slack.com/files-tmb/T012DPKCBQV-F012K4YPRL3-0a770b98c6/image_from_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435,oct26/thumb64/F012K4YPRL3.jpg,image,9
2020-04-26T17:30:32Z,U012TPRCUQ1,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012XH76665-168aec4532/image_from_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",dietmar_offenhuber,Dietmar Offenhuber,F012XH76665,Image from iOS.jpg,Image from iOS,image/jpeg,jpg,https://files.slack.com/files-pri/T012DPKCBQV-F012XH76665/image_from_ios.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435,https://files.slack.com/files-pri/T012DPKCBQV-F012XH76665/download/image_from_ios.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435,https://files.slack.com/files-tmb/T012DPKCBQV-F012XH76665-168aec4532/image_from_ios_64.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435,https://files.slack.com/files-tmb/T012DPKCBQV-F012XH76665-168aec4532/image_from_ios_480.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435,https://files.slack.com/files-tmb/T012DPKCBQV-F012XH76665-168aec4532/image_from_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435,oct26/thumb64/F012XH76665.jpg,image,10
