idNum,time,channel,text,id,real_name,medium
1,2020-04-24T16:29:21Z,berlin-local,hallo dietmar,NA,Sam Auinger,text
2,2020-04-24T16:32:01Z,sam_auinger,schreibe eine Nachricht,NA,Sam Auinger,text
3,2020-04-24T16:33:03Z,sam_auinger,wasser sound,NA,Sam Auinger,text
4,2020-04-24T16:42:25Z,sam_auinger,test movie,NA,Sam Auinger,text
5,2020-04-26T13:05:51Z,berlin-local,Greeting from sunny Berlin,NA,Peter Cusack,text
6,2020-04-26T13:06:45Z,berlin-local,"hello peter! greetings from connecticut, not sunny at the moment :slightly_smiling_face: we created a channel for you where you can record your observations",NA,Dietmar Offenhuber,text
7,2020-04-26T17:30:32Z,dietmar_offenhuber,neue spuren,NA,Dietmar Offenhuber,text
8,2020-04-26T17:30:32Z,dietmar_offenhuber,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F0138PHBH4Y-b2244daa01/image_from_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F0138PHBH4Y,Dietmar Offenhuber,image
9,2020-04-26T17:30:32Z,dietmar_offenhuber,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012K4YPRL3-0a770b98c6/image_from_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F012K4YPRL3,Dietmar Offenhuber,image
10,2020-04-26T17:30:32Z,dietmar_offenhuber,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012XH76665-168aec4532/image_from_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F012XH76665,Dietmar Offenhuber,image
11,2020-04-26T17:30:32Z,dietmar_offenhuber,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F01246MJ78X-d8c72a3d91/image_from_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F01246MJ78X,Dietmar Offenhuber,image
12,2020-04-26T17:40:25Z,berlin-local,joined in! Grüße vom Prenzlauer Berg!,NA,katrinem,text
13,2020-04-26T17:56:00Z,berlin-local,Herzliche Grüße aus Charlottenburg!,NA,Ingrid Beirer,text
14,2020-04-26T18:02:06Z,berlin-local,"Willkommen zu stadtmusik - berlin durch die lokale linse - einem kollaborativen dokumentations- und ausstellungsprojekt in zusammenarbeit mit CLB-Berlin.

in den folgenden wochen wollen wir gemeinsam die sensorischen dimensionen der stadt berlin unter quarantäne festhalten, mit einem  besonderen interesse am auditiven.

du findest einen channel mit deinem namen (z.b. <#C0136N605CY|sam_auinger> ) in dem du deine beobachtungen (text, bild, ton) festhalten kannst. darüberhinaus gibt es auch <#C0128D5JYLE|berlin-local> als gemeinsamen channel

viel spass!",NA,Dietmar Offenhuber,text
15,2020-04-26T19:28:36Z,berlin-local,"wir alle erleben wie die stadt wieder langsam hoch fährt.  
die letzten wochen haben uns stark sensibilisiert.  
*stadtmusik unter der lokalen linse* ist von der idee getragen, diese neue sensibilität zu nützen und im gruppendialog den übergang vom schock zu einer anderen /neuen realität zu dokumentieren, zu erforschen und individuell, persönlich zu kommentieren.

wir werden immer wieder wünsche an die ganze (künstlerische forschungs) -gruppe herantragen:
ein erster wunsch ist ein kurzes statement dazu, wie wir persönlich diese vergangenen 6 wochen erlebt haben, was waren zum beispiel für mich die drei merkbarsten veränderungen/erlebnisse?",NA,Sam Auinger,text
16,2020-04-26T19:34:08Z,linh_hoang_thuy,"hi linh,..freu mich dass du mitmachst",NA,Sam Auinger,text
17,2020-04-26T19:40:24Z,berlin-local,ein kurzes wort zu den channels - wir arbeiten gerade daran slack so zu konfigurieren dass jeder die beitraege in allen channels sehen kann. ihr habt einen channel mit eurem namen fuer eure beobachtungen. ich bin dabei alles auch so zu konfigurieren dass ihr auch die inhalte der channels der anderen teilnehmer sehen koennt. der <#C0128D5JYLE|berlin-local> channel ist fuer diskussionen in der ganzen gruppe gedacht. wir sind auch noch dabei das alles so einzurichten dass wir alle gut arbeiten koennen - es ist ein work in progress.,NA,Dietmar Offenhuber,text
18,2020-04-26T19:55:21Z,berlin-local,sorry about all the notifications! but now everyone should be added to all channels,NA,Dietmar Offenhuber,text
19,2020-04-26T20:33:29Z,berlin-local,Grüße vom Neukölln! :herb:,NA,Maria Kyrou,text
20,2020-04-26T21:27:20Z,sam_auinger,"Lieber Sam,",NA,Ingrid Beirer,text
21,2020-04-26T21:27:45Z,sam_auinger,freue mich….,NA,Ingrid Beirer,text
22,2020-04-26T21:35:50Z,berlin-local,Hallo Ich erlebe die Stadt Berlin wie 1985. Da ich in der Einflugschneise von Tegel wohne ist es eine erholsame Ruhe.,NA,Thomas Meier,text
23,2020-04-27T07:40:01Z,maren_hartmann,"Heute morgen im Park war der Hauch des Montags zu spüren. Viele Leute beim Sport, Geschäftigkeit überall. Der Schläfer auf der Wiese war nirgends zu sehen. Bei den Vögeln allerdings ist um die Zeit immer Montag Morgen.",NA,Maren Hartmann,text
24,2020-04-27T11:29:46Z,berlin-local,Tach auch.,NA,Georg Spehr,text
25,2020-04-27T13:23:34Z,berlin-local,Grüße aus dem Friedrichshain &amp; Danke fürs Einrichten &amp; Einladen! :heart:,NA,Holger Schulze,text
26,2020-04-27T14:30:29Z,katrin_emler,"Auf meiner derzeit bevorzugten Laufrunde begegne ich diesem Spielgerät, das auch ohne Zaumzeug aus Absperrbändern, immer schon etwas verloren wirkte… Die Gartentür zu den Grünflächen zwischen den Wohnblocks ist abgesperrt, aber es sind so wenige Menschen und Autos unterwegs, dass ich entspannt zwischen Straße und Gehweg wechseln kann - wie es gerade notwendig ist.",NA,katrinem,text
27,2020-04-27T14:30:29Z,katrin_emler,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F0125LA59NK-5951612980/playground_1_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F0125LA59NK,katrinem,image
28,2020-04-27T15:36:23Z,berlin-local,Hallo in die Runde und danke fürs Einladen! Ich kuck mich erstmal ein wenig um.....,NA,Wolfgang Galler,text
29,2020-04-27T15:37:53Z,berlin-local,"hallo wolfgang, willkommen! ich muss deinen kanal noch public machen, kann ich leider nicht am telefon, spaeter heute!",NA,Dietmar Offenhuber,text
30,2020-04-27T15:54:10Z,berlin-local,danke dir...muss ich was tun?,NA,Wolfgang Galler,text
31,2020-04-27T16:18:48Z,susanne_jaschko,Stadtmusik1: Nachbarn,NA,Susanne Jaschko,text
32,2020-04-27T16:18:48Z,susanne_jaschko,"<audio controls autoplay src=""media/F012LMX883C.mp3"" type=""audio/mpeg""></audio>",F012LMX883C,Susanne Jaschko,audio
33,2020-04-27T16:19:43Z,susanne_jaschko,Stadtmusik1: Nachbarn,NA,Susanne Jaschko,text
34,2020-04-27T16:19:43Z,susanne_jaschko,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012E0CCT7G-63f024f2b4/stadtmusik1_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F012E0CCT7G,Susanne Jaschko,image
35,2020-04-27T16:27:15Z,berlin-local,"nein, alles ok. du kannst in deinem channel (fuer die anderen sichtbar) posten",NA,Dietmar Offenhuber,text
36,2020-04-27T16:42:32Z,berlin-local,"danke dir, lieber diestmar! ...dann erstmal schönen abend bzw. angenehmen lunch break!",NA,Wolfgang Galler,text
37,2020-04-27T16:47:37Z,berlin-local,"dietmar, sorry...",NA,Wolfgang Galler,text
38,2020-04-27T17:56:57Z,hannes_strobl,"letzte woche erste zugfahrt seit dem lockdown. berlin-erlangen: wagon mit 3 anderen fahrgästen geteilt.dann bauprobe am theater, alle mit maske, stimmung war sehr gut, die leute haben lust wieder zu arbeiten. rückfahrt erlangen-berlin: bin die gesamte fahrt alleine im wagon gesessen. da musste ich nicht mal meinen noise cancelling kopfhörer benutzen und konnte dem sound des ice zuhören....",NA,hannes strobl,text
39,2020-04-27T17:56:57Z,hannes_strobl,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012ZJE9Y2D-da5eb4f778/img_4261_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F012ZJE9Y2D,hannes strobl,image
40,2020-04-27T19:01:24Z,martina_huber,"morgendliche Routinen um den Kreislauf in Schwung zu bringen: entweder eine runde um den block spazieren, 5 mal das Treppenhaus hoch und runter gehen oder ein kleines wake-up home workout ersetzen mir nun meine Arbeitswegbewegung",NA,Martina Huber,text
41,2020-04-27T19:14:37Z,georg_spehr,Selbsthilfespielplatz für 1 bis 2 Kinder. (die öffentlichen Spielplätze sind immer noch geschlossen),NA,Georg Spehr,text
42,2020-04-27T19:14:37Z,georg_spehr,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012TATDJP6-2ba7c44c35/spielplatz_detail_480.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F012TATDJP6,Georg Spehr,image
43,2020-04-27T19:14:37Z,georg_spehr,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012MC2DB1R-305903ffa4/spielplatz_full_480.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F012MC2DB1R,Georg Spehr,image
44,2020-04-27T20:18:03Z,holger_schulze,"Heute beginnt die siebte Woche der Kontakteinschränkung, Tag Nummer 43. Ich höre die zunehmenden Geräusche der wärmer werdenden Tage. Mittags aßen wir draussen auf der Terrasse. Das Leben ohne Reisen, stets häuslich und ohne körperliche Tätigkeiten und Aktivitäten an anderen Orten - abgesehen von vorübergehenden Spaziergängen - ist schon fast ganz zur Gewohnheit geworden.",NA,Holger Schulze,text
45,2020-04-27T21:05:49Z,linh_hoang_thuy,"Die sechste Woche im Home-Office hat heute angefangen. Es war einer der längeren Arbeitstage. Für einen kleinen Einkauf habe ich es doch kurz aus den vier Wänden geschafft. In LIDL fällt mir auf, dass ich heute mehr Leute mit Masken sehe - seit heute gilt ja auch die Maskenpflicht. Und obwohl Berlin weniger strenge Auflagen hat, scheinen die Leute es ernst zu nehmen.",NA,Linh Hoang Thuy,text
46,2020-04-27T21:21:31Z,dietmar_offenhuber,"Ich bin hier in der runde einer der einzigen der aus der distanz mitmacht, aus boston, massachusetts. als kontext, massachusetts ist einer der wenigen (der einzige?) staaten an der ostküste, die keine ausgangssperre verhaengt haben, nur eine empfehlung zum “sheltering in place”. es gibt keine polizisten, die passanten bestrafen; viele geschäfte wurden allerdings, wie ueberall sonst, geschlossen. darueberhinaus gibt es verschiedene “soft measures”: die strände werden nicht geschlossen, allerdings wurden die parkplätze gesperrt. mit azra, meiner partnerin, bin ich 3x pro woche an den strand gefahren, da man dort spazieren kann ohne jemandem naeher als 20 meter zu kommen. dabei fiel mir ein interessante akustische intervention der stadt auf: der lautsprecher wagen, der üblicherweise “streetcleaning” ankündigt, rief die anwesenden dazu auf nach hause zu gehen. ich konnte leider keine aufnahme davon machen.",NA,Dietmar Offenhuber,text
47,2020-04-27T21:21:31Z,dietmar_offenhuber,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012EN135ML-aefaf8cc68/img_2280_1024.png?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F012EN135ML,Dietmar Offenhuber,image
48,2020-04-27T21:21:31Z,dietmar_offenhuber,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012L30K9UM-84cb2b696a/img_2299_1024.png?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F012L30K9UM,Dietmar Offenhuber,image
49,2020-04-27T21:27:59Z,dietmar_offenhuber,"massachusetts ist soetwas wie die schweiz amerikas, es herrscht also trotz dieses zwangsverzichts weitgehend disziplin. das ist auch in sozialer interaktion zu merken - man ist freundlich und hilfsbereit, aber blickt sich misstrauisch an wenn die unsichtbare 2-meter blase verletzt wird. die subjektive interpretation von 2 metern reicht dabei, je nach person, von 1 bis ca. 6 meter. mir faellt auch bei mir selbst auf, wie aerger in mir hochsteigt, wenn ich wieder von einem keuchendem und schwitzenden jogger in knapper distanz ueberholt werde. jogger machen die vorwiegende anzahl an personen im oeffentlichen raum aus - es scheint, dass die ganze stadt vor drei wochen beschlossen hat mit dem laufen zu beginnen.",NA,Dietmar Offenhuber,text
50,2020-04-27T21:31:07Z,max_joy,"Heute am Karl Marx Platz Berlin Neukölln entdeckt.
",NA,MaxJoy sensoricArt,text
51,2020-04-27T21:31:07Z,max_joy,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F0126NKU3U7-90f61f1a89/bild_von_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F0126NKU3U7,MaxJoy sensoricArt,image
52,2020-04-27T21:31:18Z,max_joy,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F013BA1HVQQ-3a005eb749/bild_von_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F013BA1HVQQ,MaxJoy sensoricArt,image
53,2020-04-27T21:31:29Z,max_joy,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012MEU9C9G-a086d5eed6/bild_von_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F012MEU9C9G,MaxJoy sensoricArt,image
54,2020-04-27T21:32:33Z,berlin-local,super freut mich dass alles klappt!,NA,Dietmar Offenhuber,text
55,2020-04-27T21:38:37Z,sam_auinger,"<iframe src=""https://player.vimeo.com/video/481822058"" width=""640"" frameborder=""0"" allow=""autoplay; fullscreen"" allowfullscreen></iframe>",F012L3ZU5RB,Sam Auinger,movie
56,2020-04-27T21:38:45Z,sam_auinger,"die letzten Wochen waren für mich klanglich von einem unglaublichen und endloses Demaskierungsspiel geprägt, zum Beispiel jede unterirdische Wasserbewegung kriecht wieder hörbar aus Gullydeckeln (Kanaldeckel) ..auch heute noch beim frühen Abendspaziergang in Pankow so erlebt, obwohl der Verkehr wieder richtig Fahrt aufgenommen hat. Aber in dieser Gegend ist sonst der omnipräsente Fluglärm Hörraum bestimmend.",NA,Sam Auinger,text
57,2020-04-27T21:40:59Z,sam_auinger,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012TL6FDL4-e0d3aff415/wisbyer_stau_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F012TL6FDL4,Sam Auinger,image
58,2020-04-27T22:19:26Z,ingrid_beirer,"Montag, 27. April,
1.   Tag Maskenpflicht in Bahn und Bussen, in Geschäften empfohlen:
„Masken selber nähen – ganz einfach!”
Schlangen vor Stoff-Geschäften, Gummilitzen sind ausverkauft, im Fachgeschäft, im Kaufhaus - nichts.
Tipp: Spezielle Haargummis: dm, Rossmann - nichts!
Super Angebot für eine Singer-Nähmaschine bei LIDL: ausverkauft bereits nach 3 Stunden (auch online).
Zum Glück reicht auch ein Schal oder ein Tuch!",NA,Ingrid Beirer,text
59,2020-04-27T22:35:06Z,zoe_spehr,mein Fenster,NA,Zoe Spehr,text
60,2020-04-27T22:35:06Z,zoe_spehr,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F013BD6Q3PA-61d5cc3943/bildschirmfoto_2020-04-27_um_15.00.11_1024.png?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">",F013BD6Q3PA,Zoe Spehr,image
61,2020-04-28T10:47:41Z,berlin-local,Hallo zusammen! Wir sind also die Berlin-Locals... hier in Pankow tönen am schönsten die Nichtfliegender,NA,Ursula Rogg,text
