time,channel,real_name,text
2020-04-24T16:29:21Z,berlin-local,Sam Auinger,hallo dietmar
2020-04-24T16:32:01Z,sam_auinger,Sam Auinger,schreibe eine Nachricht
2020-04-24T16:33:03Z,sam_auinger,Sam Auinger,wasser sound
2020-04-24T16:42:25Z,sam_auinger,Sam Auinger,test movie
2020-04-26T13:05:51Z,berlin-local,Peter Cusack,Greeting from sunny Berlin
2020-04-26T13:06:45Z,berlin-local,Dietmar Offenhuber,"hello peter! greetings from connecticut, not sunny at the moment :slightly_smiling_face: we created a channel for you where you can record your observations"
2020-04-26T17:30:32Z,dietmar_offenhuber,Dietmar Offenhuber,neue spuren
2020-04-26T17:30:32Z,dietmar_offenhuber,Dietmar Offenhuber,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F0138PHBH4Y-b2244daa01/image_from_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-26T17:30:32Z,dietmar_offenhuber,Dietmar Offenhuber,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012K4YPRL3-0a770b98c6/image_from_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-26T17:30:32Z,dietmar_offenhuber,Dietmar Offenhuber,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F012XH76665-168aec4532/image_from_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-26T17:30:32Z,dietmar_offenhuber,Dietmar Offenhuber,"<img class=""fit"" src=""https://files.slack.com/files-tmb/T012DPKCBQV-F01246MJ78X-d8c72a3d91/image_from_ios_1024.jpg?t=xoxe-1081801419845-1460371085732-1447478355206-ee90633e5b0a90e5044d36ec67b96435"">"
2020-04-26T17:40:25Z,berlin-local,katrinem,joined in! Grüße vom Prenzlauer Berg!
2020-04-26T17:56:00Z,berlin-local,Ingrid Beirer,Herzliche Grüße aus Charlottenburg!
2020-04-26T18:02:06Z,berlin-local,Dietmar Offenhuber,"Willkommen zu stadtmusik - berlin durch die lokale linse - einem kollaborativen dokumentations- und ausstellungsprojekt in zusammenarbeit mit CLB-Berlin.

in den folgenden wochen wollen wir gemeinsam die sensorischen dimensionen der stadt berlin unter quarantäne festhalten, mit einem  besonderen interesse am auditiven.

du findest einen channel mit deinem namen (z.b. <#C0136N605CY|sam_auinger> ) in dem du deine beobachtungen (text, bild, ton) festhalten kannst. darüberhinaus gibt es auch <#C0128D5JYLE|berlin-local> als gemeinsamen channel

viel spass!"
